group_key,group_type,files,functions,sum_nloc,sum_ccn,sum_token,avg_nloc,avg_ccn,avg_token,max_nloc,max_ccn,max_token,avg_params,max_params
lib/lat_lon_alt,folder,3,31,190,34,2028,6.129,1.097,65.419,22,4,362,6.742,27
systemcmds/led_control,folder,1,4,170,34,944,42.500,8.500,236.000,93,28,652,53.250,124
modules/uuv_att_control,folder,1,11,202,33,1271,18.364,3.000,115.545,54,13,411,25.273,81
drivers/rpi_rc_in,folder,2,10,130,33,663,13.000,3.300,66.300,47,15,247,17.400,72
lib/systemlib,folder,2,9,124,33,802,13.778,3.667,89.111,32,10,191,21.222,49
lib/fw_performance_model,folder,1,14,131,32,982,9.357,2.286,70.143,31,9,270,12.500,59
drivers/rpm,folder,4,15,187,31,1105,12.467,2.067,73.667,32,7,202,16.267,50
drivers/test_ppm,folder,1,12,121,30,663,10.083,2.500,55.250,28,6,168,13.000,42
drivers/rpm_capture,folder,1,10,137,30,784,13.700,3.000,78.400,39,9,236,17.000,53
systemcmds/sd_stress,folder,1,7,129,30,817,18.429,4.286,116.714,41,11,250,23.143,51
systemcmds/bsondump,folder,1,4,132,30,780,33.000,7.500,195.000,85,17,525,46.000,126
systemcmds/tune_control,folder,1,3,161,30,842,53.667,10.000,280.667,124,28,737,67.667,166
lib/variable_length_ringbuffer,folder,2,19,184,28,1358,9.684,1.474,71.474,25,4,252,13.368,35
lib/slew_rate,folder,4,16,116,27,998,7.250,1.688,62.375,12,3,136,8.250,14
drivers/irlock,folder,1,11,135,27,829,12.273,2.455,75.364,26,6,212,15.818,34
drivers/safety_button,folder,1,9,102,27,453,11.333,3.000,50.333,22,7,119,15.111,35
systemcmds/mft_cfg,folder,1,3,137,27,822,45.667,9.000,274.000,100,21,607,62.333,138
modules/uuv_pos_control,folder,1,12,149,26,834,12.417,2.167,69.500,34,9,181,16.500,54
drivers/pps_capture,folder,1,7,105,24,610,15.000,3.429,87.143,33,10,201,20.143,46
lib/airspeed,folder,1,6,103,24,673,17.167,4.000,112.167,66,14,454,26.833,117
systemcmds/actuator_test,folder,1,3,112,24,710,37.333,8.000,236.667,78,20,520,46.000,100
lib/world_magnetic_model,folder,3,11,5141,23,91145,467.364,2.091,8285.909,1682,11,31788,471.545,1682
templates/template_module,folder,1,9,122,23,563,13.556,2.556,62.556,34,7,163,19.222,44
examples/matlab_csv_serial,folder,1,3,108,23,728,36.000,7.667,242.667,66,13,512,52.333,106
lib/hysteresis,folder,3,12,160,22,992,13.333,1.833,82.667,26,8,182,16.500,34
systemcmds/i2c_launcher,folder,1,6,106,22,648,17.667,3.667,108.000,65,12,474,23.667,92
examples/work_item,folder,1,7,84,21,398,12.000,3.000,56.857,39,12,208,17.429,67
drivers/tattu_can,folder,2,7,134,21,966,19.143,3.000,138.000,58,8,596,24.429,78
examples/fake_imu,folder,1,5,104,21,840,20.800,4.200,168.000,67,15,628,30.200,106
systemcmds/bl_update,folder,1,14,104,20,560,7.429,1.429,40.000,25,4,157,8.500,35
lib/pid,folder,3,14,116,20,1265,8.286,1.429,90.357,36,3,582,9.500,42
lib/rate_control,folder,3,12,72,20,514,6.000,1.667,42.833,17,5,171,7.667,31
modules/camera_feedback,folder,1,5,99,20,656,19.800,4.000,131.200,60,12,470,27.800,92
systemcmds/failure,folder,1,3,112,20,589,37.333,6.667,196.333,53,12,310,45.667,68
modules/airship_att_control,folder,1,10,93,18,464,9.300,1.800,46.400,18,3,86,12.300,30
lib/terrain_estimation,folder,2,7,97,17,876,13.857,2.429,125.143,54,10,518,19.143,79
modules/esc_battery,folder,1,6,80,17,438,13.333,2.833,73.000,40,9,252,16.333,51
lib/timesync,folder,2,7,75,16,470,10.714,2.286,67.143,44,8,298,17.286,78
lib/pure_pursuit,folder,2,7,148,16,1657,21.143,2.286,236.714,53,10,435,32.286,66
systemcmds/mft,folder,1,3,65,16,322,21.667,5.333,107.333,55,14,289,27.333,71
drivers/drv_hrt.h,file,1,13,49,15,299,3.769,1.154,23.000,8,2,61,4.308,13
lib/component_information,folder,2,6,41,15,281,6.833,2.500,46.833,10,4,73,7.000,10
systemcmds/reflect,folder,1,3,58,15,361,19.333,5.000,120.333,34,8,176,24.667,44
systemcmds/i2cdetect,folder,1,3,81,15,490,27.000,5.000,163.333,52,10,332,39.333,81
systemcmds/reboot,folder,1,2,51,15,272,25.500,7.500,136.000,43,13,228,36.500,61
lib/stick_yaw,folder,2,7,62,14,404,8.857,2.000,57.714,21,4,124,11.571,33
examples/hello,folder,4,5,56,14,289,11.200,2.800,57.800,34,8,185,14.600,45
drivers/linux_pwm_out,folder,1,8,78,13,360,9.750,1.625,45.000,19,3,84,12.125,29
drivers/pwm_input,folder,1,6,88,13,464,14.667,2.167,77.333,36,5,212,23.667,73
examples/fake_magnetometer,folder,1,5,60,13,360,12.000,2.600,72.000,27,7,207,14.800,36
lib/weather_vane,folder,2,5,37,12,274,7.400,2.400,54.800,21,6,182,10.200,30
lib/crc,folder,1,4,57,12,363,14.250,3.000,90.750,18,4,123,17.250,22
systemcmds/top,folder,1,2,52,12,245,26.000,6.000,122.500,46,11,221,34.500,62
lib/l1,folder,2,7,62,11,560,8.857,1.571,80.000,46,5,454,21.714,128
modules/time_persistor,folder,1,6,51,11,215,8.500,1.833,35.833,22,5,88,9.667,26
drivers/stub_keystore,folder,2,7,35,10,167,5.000,1.429,23.857,15,4,77,5.571,19
lib/atmosphere,folder,2,8,59,8,379,7.375,1.000,47.375,11,1,78,14.375,22
lib/field_sensor_bias_estimator,folder,2,7,32,8,346,4.571,1.143,49.429,20,2,219,6.286,32
examples/fake_gps,folder,1,5,71,8,379,14.200,1.600,75.800,37,3,217,15.400,38
systemcmds/dumpfile,folder,1,2,49,8,286,24.500,4.000,143.000,43,7,260,35.500,64
systemcmds/system_time,folder,1,2,61,7,298,30.500,3.500,149.000,43,6,267,40.000,59
examples/px4_simple_app,folder,1,1,39,7,297,39.000,7.000,297.000,39,7,297,74.000,74
include/unit_test.h,file,1,5,22,6,144,4.400,1.200,28.800,11,2,52,4.800,13
lib/events,folder,3,4,36,6,176,9.000,1.500,44.000,15,2,72,12.000,21
